game,console,loose_val,complete_val,new_val,graded_val,box_val,manual_val,date(D/M/Y)
zelda breath of the wild,nintendo-switch,39.16,43.59,44.00,N/A,9.00,N/A,05/02/2020
mario kart 8 deluxe,nintendo-switch,41.85,44.49,47.86,172.06,8.91,N/A,05/02/2020
zelda breath of the wild special edition,nintendo-switch,45.50,72.00,127.91,N/A,9.24,N/A,05/02/2020
splatoon 2,nintendo-switch,35.04,37.50,44.00,N/A,7.99,N/A,05/02/2020
arms,nintendo-switch,32.37,35.75,40.00,94.99,6.13,N/A,05/02/2020
super bomberman r,nintendo-switch,19.10,22.15,24.57,N/A,3.79,N/A,05/02/2020
disgaea 5 complete,nintendo-switch,24.57,28.00,39.97,N/A,6.63,N/A,05/02/2020
puyo puyo tetris,nintendo-switch,19.99,21.24,32.55,N/A,5.74,N/A,05/02/2020
lego city undercover,nintendo-switch,16.23,17.42,21.96,N/A,5.74,N/A,05/02/2020
cars 3 driven to win,nintendo-switch,16.12,16.81,21.00,N/A,8.00,N/A,05/02/2020
pokken tournament dx,nintendo-switch,35.00,36.19,39.42,N/A,8.99,N/A,05/02/2020
1 2 switch,nintendo-switch,31.98,35.15,40.01,N/A,7.34,N/A,05/02/2020
88 heroes,nintendo-switch,19.99,20.01,25.21,N/A,8.01,N/A,05/02/2020
a hat in time,nintendo-switch,24.99,31.17,39.77,N/A,12.72,N/A,05/02/2020
ai the somnium files,nintendo-switch,29.99,39.97,43.33,N/A,15.97,N/A,05/02/2020
aces of the luftwaffe squadron,nintendo-switch,20.61,23.35,31.48,N/A,9.36,N/A,05/02/2020
adventure time pirates of the enchiridion,nintendo-switch,14.23,15.00,18.13,N/A,6.82,N/A,05/02/2020
aegis defenders,nintendo-switch,28.70,33.00,33.93,N/A,13.21,N/A,05/02/2020
aeternoblade ii,nintendo-switch,26.66,29.99,30.76,N/A,12.30,N/A,05/02/2020
aggelos,nintendo-switch,14.00,16.36,25.81,N/A,7.24,N/A,05/02/2020
super mario bros 3,nes,10.25,31.83,380.97,960.11,17.57,5.25,05/02/2020
legend of zelda,nes,16.46,98.53,299.52,500.77,28.88,11.90,05/02/2020
nintendo nes console,nes,44.05,57.98,75.39,N/A,22.50,5.99,05/02/2020
contra,nes,21.99,77.39,849.99,1145.00,23.83,10.97,05/02/2020
super mario bros 2,nes,12.75,37.98,996.88,1157.55,17.45,5.00,05/02/2020
zelda ii the adventure of link,nes,11.74,50.00,425.01,905.52,25.83,9.00,05/02/2020
mike tyson's punch out,nes,19.96,98.27,1050.00,2000.00,38.00,12.61,05/02/2020
mega man,nes,41.00,239.50,1132.47,1189.00,112.91,33.90,05/02/2020
teenage mutant ninja turtles,nes,7.25,31.74,282.00,1499.99,21.25,4.97,05/02/2020
super mario bros,nes,9.96,60.35,446.75,938.27,19.08,9.50,05/02/2020
duck tales 2,nes,149.97,381.04,1283.36,4551.00,249.99,57.95,05/02/2020
metroid,nes,13.25,67.00,294.29,1464.98,26.20,11.94,05/02/2020
final fantasy,nes,15.64,60.44,1062.14,1428.66,29.76,13.73,05/02/2020
super mario bros and duck hunt,nes,5.12,14.95,28.00,N/A,5.99,2.61,05/02/2020
mega man 2,nes,17.99,97.45,690.85,2000.00,47.47,12.60,05/02/2020
bubble bobble part 2,nes,318.99,755.25,5299.99,N/A,181.95,74.24,05/02/2020
contra force,nes,83.00,355.42,3000.00,4674.78,141.97,55.00,05/02/2020
super c,nes,12.47,46.04,297.95,404.72,22.18,10.17,05/02/2020
castlevania,nes,21.74,100.00,442.21,1799.50,40.41,12.50,05/02/2020
mega man 5,nes,69.99,194.54,712.48,2393.95,80.79,40.58,05/02/2020
pokemon crystal,gameboy-color,35.87,189.99,575.00,1184.05,80.00,14.95,05/02/2020
pokemon gold,gameboy-color,19.99,75.75,230.39,500.00,32.79,9.99,05/02/2020
pokemon silver,gameboy-color,15.08,98.51,372.94,638.00,25.99,9.85,05/02/2020
super mario bros deluxe,gameboy-color,12.75,24.99,69.65,1268.39,10.22,5.67,05/02/2020
shantae,gameboy-color,467.34,1315.59,1350.00,3491.70,299.95,174.99,05/02/2020
zelda oracle of ages,gameboy-color,21.74,90.50,252.58,399.95,29.52,10.00,05/02/2020
