game,console,loose_val,complete_val,new_val,date(D/M/Y)
Ball [AC-01],game-&-watch,64.00,206.22,412.44,12/02/2020
Ball [Club Nintendo],game-&-watch,39.00,51.64,53.55,12/02/2020
Balloon Fight [BF-107],game-&-watch,65.00,323.65,647.30,12/02/2020
Balloon Fight [BF-803],game-&-watch,434.36,966.33,1932.66,12/02/2020
Black Jack [BJ-60],game-&-watch,62.11,130.00,250.30,12/02/2020
Bomb Sweeper [BD-62],game-&-watch,54.55,89.16,223.00,12/02/2020
Boxing [BX-301],game-&-watch,63.76,196.83,356.06,12/02/2020
Chef [FP-24],game-&-watch,93.51,94.04,188.08,12/02/2020
Climber [DR-106] ,game-&-watch,164.89,371.01,742.02,12/02/2020
Climber [DR-802] ,game-&-watch,262.49,577.48,1181.21,12/02/2020
Crab Grab [UD-202],game-&-watch,87.94,193.54,387.08,12/02/2020
Donkey Kong 3 [AK-302] ,game-&-watch,82.00,180.41,275.00,12/02/2020
Donkey Kong Circus [MK-96],game-&-watch,227.26,410.63,821.26,12/02/2020
Donkey Kong Hockey [HK-303] ,game-&-watch,54.08,118.99,127.75,12/02/2020
Donkey Kong II [JR-55],game-&-watch,72.94,142.10,328.30,12/02/2020
Donkey Kong Jr. [CJ-71],game-&-watch,129.69,285.32,583.61,12/02/2020
Donkey Kong Jr. [CJ-93],game-&-watch,158.01,347.61,695.22,12/02/2020
Donkey Kong Jr. [DJ-101],game-&-watch,68.79,70.29,151.34,12/02/2020
Donkey Kong [DK-52],game-&-watch,57.09,62.42,158.58,12/02/2020
Egg [EG-26],game-&-watch,443.55,975.82,1995.98,12/02/2020
Fire Attack [ID-29],game-&-watch,64.20,141.07,282.15,12/02/2020
Fire [FR-27],game-&-watch,107.59,300.00,484.16,12/02/2020
Fire [RC-04],game-&-watch,82.78,172.17,344.34,12/02/2020
Flagman [FL-02],game-&-watch,368.95,811.69,1660.29,12/02/2020
Gold Cliff [MV-64] ,game-&-watch,89.03,207.72,415.44,12/02/2020
Green House [GH-54],game-&-watch,76.38,105.00,284.38,12/02/2020
Helmet [CN-07],game-&-watch,63.39,181.15,362.30,12/02/2020
Judge Green [IP-05],game-&-watch,148.79,327.34,669.56,12/02/2020
Judge Purple [IP-05],game-&-watch,157.33,354.88,708.55,12/02/2020
Life Boat [TC-58],game-&-watch,81.36,183.07,366.14,12/02/2020
Lion [LN-08],game-&-watch,84.25,178.54,357.08,12/02/2020
Manhole [MH-06],game-&-watch,85.85,166.28,332.56,12/02/2020
Manhole [NH-103],game-&-watch,106.09,345.42,690.84,12/02/2020
Mario Bros. [MW-56],game-&-watch,59.20,144.98,283.69,12/02/2020
Mario The Juggler [MB-108] ,game-&-watch,304.30,537.10,1074.20,12/02/2020
Mario's Bombs Away [TB-94],game-&-watch,144.99,280.00,560.00,12/02/2020
Mario's Cement Factory [CM-72],game-&-watch,132.21,341.00,682.00,12/02/2020
Mario's Cement Factory [ML-102],game-&-watch,68.60,129.84,259.68,12/02/2020
Mickey &amp; Donald [DM-53],game-&-watch,52.11,184.98,394.82,12/02/2020
Mickey Mouse [DC-95],game-&-watch,251.41,699.99,1199.99,12/02/2020
Mickey Mouse [MC-25],game-&-watch,62.82,138.20,274.24,12/02/2020
Octopus [OC-22],game-&-watch,69.88,154.88,189.86,12/02/2020
Oil Panic [OP-51],game-&-watch,91.15,172.13,347.14,12/02/2020
Parachute [PR-21],game-&-watch,74.95,139.13,160.44,12/02/2020
Pinball [PB-59],game-&-watch,61.02,167.12,221.09,12/02/2020
Popeye [PG-74],game-&-watch,N/A,N/A,N/A,12/02/2020
Popeye [PG-92],game-&-watch,N/A,N/A,N/A,12/02/2020
Popeye [PP-23],game-&-watch,86.48,190.26,380.52,12/02/2020
Rain Shower [LP-57],game-&-watch,66.15,203.52,645.40,12/02/2020
Safe Buster [JB-63],game-&-watch,77.67,174.77,349.52,12/02/2020
Snoopy Tennis [SP-30],game-&-watch,57.51,126.53,175.00,12/02/2020
Snoopy [SM-73],game-&-watch,199.99,439.98,899.96,12/02/2020
Snoopy [SM-91],game-&-watch,88.89,279.16,400.01,12/02/2020
Spitball Sparky [BU-201],game-&-watch,61.31,314.08,394.70,12/02/2020
Squish [MG-61],game-&-watch,57.50,112.73,225.46,12/02/2020
Super Mario Bros. [YM-105],game-&-watch,79.91,175.67,399.99,12/02/2020
Super Mario Bros. [YM-801],game-&-watch,359.00,802.29,1615.50,12/02/2020
Super Mario Bros. [YM-901],game-&-watch,355.42,1493.64,1599.39,12/02/2020
Tropical Fish [TF-104],game-&-watch,90.29,216.77,433.54,12/02/2020
Turtle Bridge [TL-28],game-&-watch,71.02,150.00,300.00,12/02/2020
Vermin [MT-03],game-&-watch,111.89,255.73,503.51,12/02/2020
Zelda [ZL-65],game-&-watch,141.88,278.69,515.00,12/02/2020
007 James Bond,atari-5200,14.68,26.98,66.16,12/02/2020
Adventure II,atari-5200,29.93,65.21,77.91,12/02/2020
AstroChase,atari-5200,19.93,32.50,53.90,12/02/2020
