game,console,loose_val,complete_val,new_val,date(D/M/Y)
EarthBound,super-nintendo,407.95,2570.27,8225.00,14/04/2026
Chrono Trigger,super-nintendo,260.33,947.78,3033.00,14/04/2026
Super Nintendo System,super-nintendo,117.88,301.23,964.00,14/04/2026
Super Mario World,super-nintendo,19.38,674.90,8409.38,14/04/2026
Zelda Link to the Past,super-nintendo,40.00,200.00,812.25,14/04/2026
Super Metroid,super-nintendo,85.00,347.25,6178.17,14/04/2026
Donkey Kong Country,super-nintendo,17.99,80.00,416.62,14/04/2026
Super Mario All-Stars,super-nintendo,21.97,82.47,549.50,14/04/2026
Super Mario RPG,super-nintendo,56.50,213.20,1348.83,14/04/2026
Super Mario Kart,super-nintendo,34.09,85.44,1625.00,14/04/2026
Final Fantasy III,super-nintendo,80.00,268.58,987.68,14/04/2026
Mega Man X,super-nintendo,31.18,154.99,536.21,14/04/2026
Super Mario World 2 Yoshi's Island,super-nintendo,43.77,116.46,750.22,14/04/2026
Mega Man X3,super-nintendo,336.66,1796.71,5749.00,14/04/2026
Donkey Kong Country 2,super-nintendo,22.98,112.49,558.66,14/04/2026
Teenage Mutant Ninja Turtles IV Turtles in Time,super-nintendo,45.16,299.91,960.00,14/04/2026
Super Nintendo Classic Edition,super-nintendo,74.97,102.34,136.39,14/04/2026
Super Castlevania IV,super-nintendo,47.55,178.07,667.50,14/04/2026
Castlevania Dracula X,super-nintendo,296.31,1349.99,1925.42,14/04/2026
Secret of Mana,super-nintendo,60.86,208.73,668.00,14/04/2026
Hagane The Final Conflict,super-nintendo,1400.00,2875.00,9200.00,14/04/2026
Street Fighter II,super-nintendo,16.13,65.63,279.49,14/04/2026
Donkey Kong Country 3,super-nintendo,30.47,119.35,369.07,14/04/2026
Killer Instinct,super-nintendo,16.31,75.47,235.41,14/04/2026
Final Fantasy II,super-nintendo,58.85,274.26,713.11,14/04/2026
Star Fox,super-nintendo,18.37,76.76,319.00,14/04/2026
Mega Man X2,super-nintendo,171.19,513.86,1644.00,14/04/2026
Contra III The Alien Wars,super-nintendo,42.17,149.00,450.08,14/04/2026
Kirby's Dream Land 3,super-nintendo,197.78,769.99,2464.00,14/04/2026
Aero Fighters,super-nintendo,1999.99,3426.59,4125.00,14/04/2026
Mega Man 7,super-nintendo,279.99,1131.04,3619.00,14/04/2026
Sunset Riders,super-nintendo,99.67,377.50,1208.00,14/04/2026
Zombies Ate My Neighbors,super-nintendo,34.42,101.84,371.96,14/04/2026
Super Gameboy,super-nintendo,30.00,69.99,252.45,14/04/2026
F-Zero,super-nintendo,16.08,57.48,131.50,14/04/2026
Metal Warriors,super-nintendo,390.25,955.67,3750.00,14/04/2026
Illusion of Gaia,super-nintendo,32.34,99.48,634.00,14/04/2026
EVO the Search for Eden,super-nintendo,274.14,991.61,3173.00,14/04/2026
Mortal Kombat,super-nintendo,14.38,63.33,641.92,14/04/2026
Mario Paint,super-nintendo,8.27,83.66,430.85,14/04/2026
Super Punch Out,super-nintendo,36.11,121.94,1000.00,14/04/2026
Demon's Crest,super-nintendo,170.00,487.88,789.14,14/04/2026
Spiderman Maximum Carnage,super-nintendo,44.99,128.19,970.25,14/04/2026
Final Fantasy Mystic Quest,super-nintendo,19.63,85.64,475.00,14/04/2026
Super Star Wars,super-nintendo,14.12,53.71,161.11,14/04/2026
Lufia II Rise of Sinistrals,super-nintendo,172.99,309.02,1212.49,14/04/2026
Aladdin,super-nintendo,15.69,55.96,388.50,14/04/2026
Kirby's Avalanche,super-nintendo,16.99,66.40,231.25,14/04/2026
Street Fighter II Turbo,super-nintendo,20.51,66.25,200.83,14/04/2026
Harvest Moon,super-nintendo,341.96,795.98,1957.42,14/04/2026
Kirby Super Star,super-nintendo,66.78,154.15,493.00,14/04/2026
Mortal Kombat II,super-nintendo,16.68,84.00,481.44,14/04/2026
Pocky and Rocky 2,super-nintendo,549.99,1373.17,4394.00,14/04/2026
Super Ghouls 'N Ghosts,super-nintendo,24.84,110.99,775.01,14/04/2026
Super Nintendo System Jr.,super-nintendo,94.99,331.73,961.70,14/04/2026
Doom,super-nintendo,41.58,130.48,442.03,14/04/2026
Breath of Fire,super-nintendo,42.31,157.50,649.97,14/04/2026
Secret of Evermore,super-nintendo,50.15,162.67,664.95,14/04/2026
Wild Guns,super-nintendo,283.13,999.99,3200.00,14/04/2026
Super Mario All-stars and Super Mario World,super-nintendo,42.88,115.51,235.50,14/04/2026
Super Scope 6 [Gun Bundle],super-nintendo,59.99,179.99,576.00,14/04/2026
Ogre Battle The March of the Black Queen,super-nintendo,232.06,627.52,2008.00,14/04/2026
Uniracers,super-nintendo,18.09,79.99,249.99,14/04/2026
Super Star Wars Empire Strikes Back,super-nintendo,15.09,44.00,147.21,14/04/2026
Final Fight 3,super-nintendo,135.00,663.40,2123.00,14/04/2026
Mortal Kombat 3,super-nintendo,14.99,56.20,160.92,14/04/2026
Goof Troop,super-nintendo,25.97,114.99,301.41,14/04/2026
Legend of the Mystical Ninja,super-nintendo,56.68,219.99,639.26,14/04/2026
Breath of Fire II,super-nintendo,99.75,220.82,707.00,14/04/2026
NBA Jam,super-nintendo,13.25,49.49,1411.26,14/04/2026
Soul Blazer,super-nintendo,123.45,360.00,1226.56,14/04/2026
Adventures of Batman and Robin,super-nintendo,147.48,457.99,1466.00,14/04/2026
The Lion King,super-nintendo,13.48,43.97,205.37,14/04/2026
Final Fight,super-nintendo,16.42,81.58,368.13,14/04/2026
Gradius III,super-nintendo,14.84,64.10,263.99,14/04/2026
Lufia and The Fortress of Doom,super-nintendo,81.79,225.81,381.58,14/04/2026
Super Star Wars Return of the Jedi,super-nintendo,15.37,48.16,139.95,14/04/2026
Batman Returns,super-nintendo,28.41,107.48,344.00,14/04/2026
Pocky & Rocky,super-nintendo,150.00,419.00,2024.33,14/04/2026
Earthworm Jim,super-nintendo,32.99,126.04,876.21,14/04/2026
Street Fighter Alpha 2,super-nintendo,61.39,219.99,1227.68,14/04/2026
Zelda Link to the Past [Player's Choice],super-nintendo,33.85,120.00,704.52,14/04/2026
Jurassic Park,super-nintendo,12.50,45.00,150.00,14/04/2026
Super Nintendo Controller,super-nintendo,17.10,49.99,172.91,14/04/2026
Ultimate Mortal Kombat 3,super-nintendo,36.50,138.98,399.96,14/04/2026
SimCity,super-nintendo,14.04,39.49,123.75,14/04/2026
Teenage Mutant Ninja Turtles Tournament Fighters,super-nintendo,20.00,137.50,440.00,14/04/2026
Battletoads and Double Dragon The Ultimate Team,super-nintendo,30.67,108.24,346.00,14/04/2026
Nosferatu,super-nintendo,205.02,454.67,536.34,14/04/2026
Batman Forever,super-nintendo,10.20,35.27,229.99,14/04/2026
Mega Man Soccer,super-nintendo,75.37,399.99,1280.00,14/04/2026
Donkey Kong Country Competition,super-nintendo,5358.53,7426.30,8000.00,14/04/2026
X-Men Mutant Apocalypse,super-nintendo,22.65,79.99,265.25,14/04/2026
Pilotwings,super-nintendo,9.99,48.30,250.00,14/04/2026
Space MegaForce,super-nintendo,222.70,669.37,2142.00,14/04/2026
Final Fight Guy,super-nintendo,432.50,2677.56,8568.00,14/04/2026
Mario is Missing,super-nintendo,16.26,58.99,576.72,14/04/2026
Ninja Gaiden Trilogy,super-nintendo,186.07,521.03,1150.15,14/04/2026
Mr. Nutz,super-nintendo,153.57,556.68,1781.00,14/04/2026
Exertainment Mountain Bikerally Speed Racer,super-nintendo,2638.86,N/A,10396.77,14/04/2026
Final Fight 2,super-nintendo,70.32,319.95,797.81,14/04/2026
Robotrek,super-nintendo,100.00,340.63,1090.00,14/04/2026
ActRaiser,super-nintendo,43.70,152.48,225.00,14/04/2026
